iteration,timestamp,p,true_positives,false_negatives,false_positives,true_negatives,avg_degree,max_degree
281,5565426,0.88999945,5,0,16,379,14.62,19
282,4581759,0.9599994,0,5,10,385,16.575,20
283,652159,0.8199995,7,0,12,381,12.68,18
284,9191766,0.45999986,0,6,16,378,6.925,11
285,4163545,0.99999934,0,0,0,0,0.0,0
286,452047,0.5099998,5,0,15,380,7.87,13
287,2527586,0.86999947,0,0,0,0,0.0,0
288,750852,0.35999995,0,6,16,378,5.12,11
289,6698195,0.5999997,5,0,12,383,9.165,15
290,2819473,0.7299996,0,7,13,380,10.83,17
291,4627699,0.45999986,0,4,13,383,7.035,11
292,2922807,0.9199994,0,4,25,371,15.64,20
293,6912149,0.46999985,0,5,12,383,7.25,13
294,7776870,0.8499995,0,5,16,379,13.515,19
295,4571786,0.33999997,0,7,7,386,4.63,10
296,4085584,0.8499995,0,0,0,0,0.0,0
297,3352225,0.5999997,7,0,4,389,9.005,14
298,630181,0.78999954,7,0,12,381,11.855,17
299,7034163,0.69999963,0,6,11,383,10.395,16
300,6236759,0.8599995,5,0,12,383,13.785,19
301,6417707,0.68999964,7,0,9,384,10.325,15
302,9443865,0.35999995,4,0,11,385,5.005,10
303,2099601,0.47999984,6,0,17,377,7.23,12
304,5639525,0.39999992,0,5,16,379,5.985,13
305,1995458,0.8599995,7,0,12,381,13.875,19
306,1188817,0.5499998,4,0,14,382,8.265,13
307,6851325,0.33999997,0,7,9,384,4.69,10
308,5007118,0.5199998,4,0,10,386,7.86,14
309,7131887,0.8399995,3,1,18,378,13.275,19
310,976450,0.8099995,4,0,14,382,12.55,18
311,7440682,0.78999954,0,5,14,381,12.135,17
312,271233,0.8299995,0,4,10,386,13.025,18
313,1157349,0.48999983,7,0,12,381,7.425,14
314,730279,0.32999998,6,0,11,383,4.37,9
315,1304894,0.77999955,5,0,20,375,11.75,18
316,2077591,0.4299999,4,0,10,386,6.555,12
317,4215685,0.32999998,6,0,7,387,4.615,10
318,6249529,0.32999998,0,6,17,377,4.4,10
319,8078378,0.9199994,0,0,0,0,0.0,0
320,4234006,0.97999936,0,7,12,381,16.825,20
321,9290973,0.66999966,3,0,14,383,9.805,15
322,4193215,0.31,5,0,8,387,4.275,10
323,8932925,0.56999975,7,0,8,385,8.735,13
324,7881354,0.43999988,0,4,14,382,6.4,11
325,4028598,0.7099996,0,0,0,0,0.0,0
326,3500816,0.8599995,0,4,8,388,13.755,18
327,7568589,0.39999992,6,0,19,375,5.955,11
328,985465,0.8199995,0,4,18,378,12.835,17
329,3772557,0.8299995,0,0,0,0,0.0,0
330,6664818,0.5399998,0,5,12,383,8.05,13
331,128887,0.6099997,5,0,9,386,9.08,14
332,1780340,0.5299998,0,0,0,0,0.0,0
333,1664724,0.8499995,1,4,11,384,13.63,18
334,24313,0.36999995,5,0,7,388,5.3,9
335,3130425,0.8299995,0,0,0,0,0.0,0
336,443072,0.49999982,6,0,9,385,7.69,13
337,4250362,0.4099999,0,5,12,383,5.94,11
338,1013861,0.8599995,4,1,14,381,13.955,19
339,1379923,0.32,5,0,2,393,4.405,9
340,4018229,0.6099997,0,5,13,382,9.12,14
341,4638762,0.48999983,6,0,10,384,7.605,13
342,8112849,0.97999936,0,0,0,0,0.0,0
343,5669963,0.46999985,0,3,20,377,7.285,13
344,8210330,0.4299999,4,0,12,384,6.39,11
345,1503264,0.57999974,4,0,11,385,8.755,13
346,6950704,0.5499998,0,7,13,380,8.25,12
347,8691060,0.7599996,6,0,6,388,11.47,17
348,9327576,0.7299996,6,0,11,383,10.825,16
349,4011736,0.5999997,7,0,11,382,9.08,14
350,8946614,0.5999997,0,5,9,386,9.125,14
351,9211604,0.5199998,0,4,13,383,7.49,12
352,1108456,0.36999995,0,5,12,383,5.37,10
353,9085871,0.8499995,0,7,12,381,13.585,19
354,7908069,0.49999982,5,0,13,382,7.69,13
355,1261003,0.7099996,0,4,8,388,10.575,16
356,500856,0.58999974,7,0,4,389,8.73,13
357,8479536,0.33999997,5,0,18,377,4.72,9
358,1113467,0.37999994,7,0,7,386,5.515,10
359,9076228,0.98999935,0,0,0,0,0.0,0
360,2153477,0.5999997,0,6,16,378,9.065,14
361,9387586,0.8299995,4,0,18,378,13.105,18
362,4475355,0.8299995,4,0,19,377,13.065,18
363,7544476,0.34999996,4,1,20,375,4.855,10
364,44965,0.37999994,5,0,19,376,5.63,10
365,1035088,0.88999945,4,0,18,378,14.785,20
366,9373115,0.9399994,0,0,0,0,0.0,0
367,4345001,0.5999997,7,0,5,388,9.125,14
368,655261,0.9599994,0,0,0,0,0.0,0
369,4814147,0.79999954,6,0,8,386,12.19,18
370,154912,0.6299997,6,0,4,390,9.645,15
371,9099282,0.3,7,0,6,387,3.91,8
372,4593312,0.37999994,4,0,6,390,5.485,10
373,4624858,0.44999987,6,0,15,379,6.81,14
374,9241512,0.56999975,0,7,26,367,8.655,12
375,7913372,0.5099998,3,1,8,388,7.895,12
376,5880573,0.8599995,6,0,9,385,13.815,19
377,3804699,0.9199994,0,0,0,0,0.0,0
378,3939948,0.45999986,0,4,10,386,7.045,11
379,4409012,0.8099995,0,0,0,0,0.0,0
380,6849621,0.87999946,4,0,22,374,14.48,19
381,1232812,0.65999967,0,5,14,381,9.665,14
382,1810550,0.5099998,4,0,8,388,7.795,13
383,877213,0.6399997,8,0,10,382,9.535,15
384,5112066,0.69999963,0,7,11,382,10.455,15
385,1609531,0.78999954,0,5,18,377,12.12,18
386,4053158,0.66999966,0,7,10,383,9.915,15
387,7601968,0.46999985,0,7,22,371,7.135,11
388,8695754,0.76999956,0,5,18,377,11.58,17
389,3333641,0.6399997,0,0,0,0,0.0,0
390,2012321,0.87999946,0,6,20,374,14.48,20
391,7797625,0.88999945,0,4,9,387,14.855,20
392,2199084,0.67999965,0,7,14,379,9.96,15
393,6461766,0.7499996,0,4,8,388,11.145,17
394,364118,0.35999995,8,0,8,384,5.06,10
395,8007006,0.68999964,6,0,16,378,10.325,16
396,1759936,0.4099999,1,4,18,377,6.03,12
397,3718140,0.6299997,4,0,12,384,9.66,15
398,9167420,0.99999934,0,5,13,382,17.11,20
399,9140971,0.35999995,0,5,10,385,5.065,9
400,844934,0.57999974,6,0,9,385,8.91,13
401,1816639,0.5399998,0,6,15,379,8.19,14
402,2616772,0.33999997,2,3,11,384,4.75,9
403,3907644,0.98999935,0,4,14,382,16.97,20
404,5139576,0.7399996,0,3,13,384,11.03,16
405,6346275,0.5399998,5,0,13,382,8.19,13
406,6683558,0.57999974,0,6,11,383,8.755,14
407,6215174,0.8199995,0,5,14,381,12.73,18
408,52883,0.43999988,4,0,9,387,6.65,12
409,2805082,0.7199996,3,0,10,387,10.52,16
410,2287677,0.8099995,4,0,14,382,12.295,18
411,2868664,0.99999934,0,0,0,0,0.0,0
412,8292266,0.6099997,6,0,6,388,9.11,14
413,8076777,0.79999954,6,0,15,379,12.235,17
414,4325721,0.6499997,0,0,0,0,0.0,0
415,7075553,0.8499995,0,0,0,0,0.0,0
416,8245752,0.5099998,4,0,12,384,7.8,12
417,925471,0.7299996,5,0,13,382,10.75,16
418,8157528,0.32999998,2,2,12,384,4.435,10
419,6318756,0.48999983,6,0,7,387,7.385,12
420,7510994,0.3,4,0,12,384,4.015,9
421,2984535,0.47999984,6,0,7,387,7.39,12
422,3770971,0.7199996,3,1,16,380,10.785,16
423,9505019,0.49999982,7,0,4,389,7.695,12
424,1886335,0.67999965,4,0,15,381,9.995,15
425,4610008,0.4199999,7,0,15,378,6.21,12
426,5626896,0.9699994,3,3,24,370,16.705,20
427,7730913,0.76999956,7,0,8,385,11.55,17
428,2017864,0.31,0,4,12,384,4.245,10
429,653708,0.9499994,0,0,0,0,0.0,0
430,2276622,0.90999943,0,0,0,0,0.0,0
431,6466559,0.89999944,0,0,0,0,0.0,0
432,1094825,0.33999997,5,0,8,387,4.64,10
433,2692664,0.5199998,6,0,5,389,7.755,12
434,8135184,0.89999944,2,2,16,380,15.01,19
435,9303173,0.78999954,0,0,0,0,0.0,0
436,312773,0.9199994,2,0,25,373,15.575,20
437,6175338,0.87999946,0,0,0,0,0.0,0
438,6208315,0.9699994,0,0,0,0,0.0,0
439,6584432,0.35999995,5,0,8,387,4.955,10
440,8670452,0.7199996,6,0,17,377,10.525,16
441,5659799,0.44999987,0,5,9,386,6.705,12
442,2983694,0.46999985,0,5,8,387,7.24,12
443,7755899,0.8099995,5,0,11,384,12.44,17
444,309066,0.90999943,0,5,11,384,15.275,20
445,6316760,0.47999984,0,5,7,388,7.315,12
446,2560681,0.9699994,0,0,0,0,0.0,0
447,609796,0.7499996,1,5,21,373,11.265,16
448,7890906,0.45999986,0,6,20,374,6.88,12
449,1700864,0.3,4,1,12,383,3.85,8
450,6634782,0.46999985,6,0,12,382,7.025,11
451,1673438,0.86999947,0,4,11,385,13.89,20
452,6288560,0.4199999,5,0,8,387,6.215,11
453,7763264,0.8199995,3,3,18,376,12.79,18
454,759892,0.38999993,0,4,3,393,5.705,11
455,2056832,0.9699994,3,2,10,385,16.715,20
456,3305979,0.5099998,6,0,8,386,7.81,12
457,7268136,0.48999983,0,6,13,381,7.4,11
