iteration,timestamp,p,true_positives,false_negatives,false_positives,true_negatives,avg_degree,max_degree
265,11251372,0.45999986,0,6,9,385,6.715,12
266,175424,0.6399997,6,1,18,375,9.55,15
267,7621300,0.8199995,0,0,0,0,0.0,0
268,11837449,0.3,5,1,4,390,4.025,10
269,18444715,0.5299998,0,3,14,383,7.945,13
270,3039308,0.57999974,0,7,11,382,8.745,14
271,13558655,0.35999995,6,0,7,387,5.04,9
272,21170036,0.87999946,0,0,0,0,0.0,0
273,1380983,0.76999956,7,0,7,386,11.78,18
274,7007030,0.9699994,0,0,0,0,0.0,0
275,3678944,0.4299999,6,0,10,384,6.33,12
276,11128696,0.99999934,3,0,24,373,15.4,21
277,4100916,0.36999995,3,3,8,386,5.055,11
278,506716,0.5099998,7,0,4,389,7.86,13
279,18537910,0.6099997,5,0,10,385,9.005,14
280,1890927,0.32999998,6,0,10,384,4.6,9
281,1715055,0.7199996,0,3,14,383,10.935,16
282,10547562,0.6199997,4,0,9,387,9.35,14
283,3986687,0.9299994,2,0,21,377,14.32,20
284,21060313,0.66999966,6,0,13,381,10.075,16
285,5482423,0.8199995,5,0,17,378,12.47,18
286,19171444,0.36999995,7,0,9,384,5.235,11
287,11603533,0.8299995,0,0,0,0,0.0,0
288,6027639,0.67999965,6,0,7,387,10.29,15
289,8557719,0.87999946,3,2,20,375,13.535,18
290,10270998,0.35999995,0,5,11,384,5.165,11
291,5208014,0.6499997,8,0,6,386,9.745,15
292,184946,0.66999966,6,0,18,376,10.145,15
293,12702214,0.34999996,6,0,10,384,4.92,10
294,3339582,0.46999985,7,0,4,389,6.93,12
295,6796044,0.69999963,7,0,6,387,10.525,15
296,1279267,0.57999974,5,0,18,377,8.64,14
297,19351184,0.5499998,4,0,8,388,8.14,12
298,11433665,0.5999997,0,5,10,385,9.055,14
299,20102490,0.57999974,5,0,8,387,8.72,15
300,2484891,0.8499995,0,7,16,377,13.0,19
301,5841482,0.5299998,3,0,9,388,7.89,13
302,9685618,0.55999976,4,0,16,380,8.24,13
303,17176063,0.87999946,0,0,0,0,0.0,0
304,13804048,0.57999974,5,0,14,381,8.73,15
305,12834820,0.47999984,0,6,12,382,7.28,14
306,20735366,0.34999996,0,4,15,381,4.74,9
307,8958543,0.6099997,5,0,5,390,9.19,14
308,5801710,0.48999983,7,0,11,382,7.285,12
309,8023950,0.45999986,0,6,11,383,6.52,11
310,19743818,0.8499995,0,6,10,384,12.82,18
311,3562698,0.9699994,0,0,0,0,0.0,0
312,17635966,0.44999987,2,3,13,382,6.68,12
313,3929549,0.88999945,0,5,17,378,13.77,20
314,1928744,0.4199999,9,0,3,388,5.98,11
315,11860966,0.9199994,7,0,12,381,14.085,20
316,4955323,0.39999992,0,5,11,384,5.81,12
